Shape,Dimensions,Translate,Rotate,Scale,Boolean,Comment
invtorus,"0.8,0.64,0.0","0.0,0.0,0.0","0.0,0.0,0.0","1.0,1.0,1.0",add,Tausta
sphere,"0.22,0.0,0.0","0.0,0.0,0.18","0.0,0.0,0.0","1.1,1.0,1.4",add,Pää
sphere,"0.5,0.0,0.0","0.0,0.05,0.0","0.0,0.0,0.0","0.32,0.3,0.2",add,Ylähuuli
sphere,"0.5,0.0,0.0","-0.01,0.07,0.045","0.0,0.0,0.348","0.4,0.2,0.16",add,Vas Cheekbone
sphere,"0.5,0.0,0.0","0.01,0.07,0.045","0.0,0.0,-0.348","0.4,0.2,0.16",add,Oik Cheekbone
sphere,"0.5,0.0,0.0","0.0,0.14,0.03","0.87,0.0,0.0","0.14,0.14,0.2",add,Nenä Ylä
cylinder,"0.1,0.06,0.1","-0.14,0.03,-0.05","-0.348,1.74,0.0","1.6,1.0,1.0",add,Vas Leuka
cylinder,"0.1,0.06,0.1","0.14,0.03,-0.05","-0.348,1.39,0.0","1.6,1.0,1.0",add,Oik Leuka
cylinder,"0.12,0.05,0.1","-0.08,0.18,0.16","-0.87,-0.26,0.0","1.0,0.4,1.0",add,Vas Kulma
cylinder,"0.12,0.05,0.1","0.08,0.18,0.16","-0.87,0.26,0.0","1.0,0.4,1.0",add,Oik Kulma
sphere,"0.45,0.0,0.0","-0.08,0.14,0.1","0.0,-0.348,0.0","0.16,0.2,0.13",subtract,Vas Silmäkuoppa
sphere,"0.45,0.0,0.0","0.08,0.14,0.1","0.0,0.348,0.0","0.16,0.2,0.13",subtract,Oik Silmäkuoppa
sphere,"0.5,0.0,0.0","-0.012,0.2,0.032","0.0,-0.435,0.0","0.04,0.1,0.08",subtract,Nenä kuoppa
cylinder,"0.24,0.04,0.1","0.0,-0.12,-0.09","0.26,0.0,0.0","0.6,0.5,1.0",subtract,Suu kuoppa
cylinder,"0.16,0.08,0.1","0.0,0.04,-0.12","0.67,0.0,0.0","0.8,1.0,1.0",subtract,Suu kuoppa 2
